transaction_id,customer_id,amount,timestamp,merchant
ae016c5a-ebc2-4c65-b0a1-4bd24425cd70,C37609,-29.58,2026-03-30T08:11:19.297688,STORE_9
7442ddd3-e338-4c07-8345-64e40a61f50a,C36871,401.09,2026-03-30T08:11:19.297848,STORE_2
3f4011ac-4156-4b57-83cd-2d0a8404d56d,C54191,147.3,2026-03-26T08:11:19.297892,STORE_1
d68548f2-3f1c-4e0c-9898-bf689bbb2921,C24508,479.07,2026-03-30T08:11:19.297923,STORE_28
2e0a7453-2858-4bfd-bddc-ebf6a9d01de2,C61602,16.07,2026-03-29T08:11:19.297953,STORE_40
067d0873-cad0-4f09-b676-53e15b02c501,C12501,305.08,2026-03-28T08:11:19.297981,STORE_17
401ce2aa-1ce0-4c30-a4b6-5fc7e941e338,C80685,447.73,2026-03-30T08:11:19.298007,STORE_27
fbfa6261-a4ac-4780-ae7e-18429498ee3e,C70000,109.18,2026-03-29T08:11:19.298033,STORE_28
d630703d-0a37-40e8-8fc2-a9098fa32eef,C50178,39.85,2026-03-31T08:11:19.298072,STORE_45
361e4264-2ce6-4895-ae93-1aeda37b88fd,C11205,258.15,2026-03-31T08:11:19.298102,STORE_47
db730a8d-060c-4cae-bc94-083cc7e337cd,C12260,341.43,2026-03-28T08:11:19.298127,STORE_13
1d9fed12-0127-4860-b360-4e8fb324d93a,C24828,7.07,2026-03-29T08:11:19.298153,STORE_15
36897271-8b9c-4e17-a13d-e8193c7731a2,C37583,-44.35,2026-03-27T08:11:19.298178,STORE_39
80d18224-f5fa-4e07-8254-05484388ea59,C50860,335.11,2026-03-31T08:11:19.298201,STORE_44
751c1b5b-273e-4720-9a7d-3881b434a891,C83194,-5.66,2026-03-27T08:11:19.298225,STORE_33
7c667d39-188b-4c8f-880e-658fa621f5e6,C20271,-48.99,2026-03-26T08:11:19.298249,STORE_30
6a4bac3a-e1fd-4348-9661-c33c9d44122a,C95046,150.96,2026-03-27T08:11:19.298273,STORE_24
2ad4e884-9206-4c67-b2ad-8a5caf1f7b70,C14202,-38.19,2026-03-27T08:11:19.298297,STORE_15
0a9d4aa7-c79c-447d-8512-223c8db717e4,C99469,-7.63,2026-03-28T08:11:19.298321,STORE_3
63c52f74-99b7-4983-9d76-a824512a27c4,C98031,-49.12,2026-03-27T08:11:19.298346,STORE_38
a62498c2-bd6b-481e-ad01-9d305bc26923,C30581,410.39,2026-03-31T08:11:19.298370,STORE_20
c3057cb3-4803-42b2-96fc-6a8f8a3df847,C21376,292.59,2026-03-30T08:11:19.298394,STORE_13
00375104-e77a-4e8a-abef-2b29ac2c0d8b,C36873,-42.3,2026-03-31T08:11:19.298448,STORE_8
cc61b460-0b16-4058-8be2-f41cf7babfec,C85786,396.14,2026-03-28T08:11:19.298477,STORE_6
113741a5-489d-41e3-830c-58bcc0e84209,C18678,185.9,2026-03-26T08:11:19.298502,STORE_1
630ca903-6693-4de4-a919-a70fb444ad2d,C61295,400.2,2026-03-31T08:11:19.298527,STORE_28
67341d9b-e035-456e-ab13-827699896bf4,C90535,13.13,2026-03-28T08:11:19.298552,STORE_3
af2d65a6-6cd7-4d86-924e-5fef4d92343b,C98022,215.56,2026-03-26T08:11:19.298577,STORE_42
2777848a-7fd4-4339-a071-accedba8a762,C10798,306.58,2026-03-28T08:11:19.298601,STORE_22
f0d41de0-0b6b-4ecd-bd74-deda019a9958,C67707,279.9,2026-03-28T08:11:19.298625,STORE_42
d48170a7-c3eb-40de-9a96-eeb590c6aa5b,C72529,305.33,2026-03-30T08:11:19.298649,STORE_14
9f23f2fc-6802-4232-aa6c-98504f08fb19,C85002,34.96,2026-03-31T08:11:19.298678,STORE_19
17960e24-6bba-40ee-8d44-903c9c879139,C69593,414.82,2026-03-27T08:11:19.298716,STORE_16
6fc57e3b-dd4a-4325-a987-d4e42d4f3f2c,C42587,285.2,2026-03-30T08:11:19.298740,STORE_36
2456c7df-fea7-4753-b1ba-5f1e1ac782ee,C50595,345.23,2026-03-28T08:11:19.298764,STORE_6
3f586069-1a53-4d8a-ac15-ff264f100225,C91779,134.24,2026-03-28T08:11:19.298788,STORE_6
f7e7e5df-b120-4e73-82b0-2ceda8132460,C47728,61.34,2026-03-28T08:11:19.298811,STORE_6
ebeeeb9d-28bd-403b-ad0f-4701518d2fe9,C26127,42.41,2026-03-26T08:11:19.298834,STORE_7
cf0ae81f-a99a-4bef-b073-aac3c44ecf16,C79767,297.31,2026-03-27T08:11:19.298865,STORE_45
24cd9a75-abe9-4b72-80a6-067cc348f47e,C45292,200.11,2026-03-29T08:11:19.298924,STORE_50
c1a51928-6f7d-4ee7-a0aa-c29aaca7baa1,C45190,-37.43,2026-03-30T08:11:19.298966,STORE_2
058ba7b0-8153-4f34-8d79-61bba5fc2cba,C53007,236.83,2026-03-29T08:11:19.299011,STORE_37
f821f297-c5aa-48fd-a14e-742dabd788c8,C47417,367.22,2026-03-29T08:11:19.299061,STORE_33
4201faac-c1e6-47e7-8fa0-6c578821b226,C96317,-8.76,2026-03-30T08:11:19.299098,STORE_6
8f8756a8-fde6-4f92-bdc8-748a10d75d72,C95547,381.75,2026-03-29T08:11:19.299124,STORE_3
759a5b26-e718-4989-9672-acdc3e648538,C65950,244.46,2026-03-28T08:11:19.299147,STORE_10
0dd66f58-2bcf-4ef0-9abc-0333750add45,C77465,394.41,2026-03-29T08:11:19.299172,STORE_5
5deaf3b0-c132-4c48-bc39-bf723d337f33,C54117,148.17,2026-03-29T08:11:19.299215,STORE_25
ff29f60e-682f-461f-a6f1-baeb1650a49f,C26853,447.95,2026-03-31T08:11:19.299241,STORE_37
1b78ceaa-ba04-4b1e-b9bd-d296872d5af7,C66651,68.84,2026-03-31T08:11:19.299265,STORE_39
c8c65c3c-2504-464e-ab80-b740e932e1aa,C80787,192.51,2026-03-28T08:11:19.299289,STORE_35
73154fa4-e594-49f8-93aa-ef595efa9f04,C82939,360.04,2026-03-28T08:11:19.299312,STORE_27
425b483d-fc8d-4352-ac82-d3e0558a915c,C19380,114.26,2026-03-27T08:11:19.299336,STORE_36
c01b289f-82fa-4b4b-b841-b42e79116fc9,C74371,241.28,2026-03-26T08:11:19.299362,STORE_16
b9ee33ed-d529-4812-b969-aae74d714280,C56777,239.65,2026-03-27T08:11:19.299386,STORE_43
086eca62-5131-473f-9252-4865aff57215,C85731,322.66,2026-03-30T08:11:19.299410,STORE_3
c185bfb6-ed0b-4aff-817e-ab49010660b2,C47534,361.49,2026-03-29T08:11:19.299433,STORE_25
7b0617f8-eada-4169-a1f7-fa5ca2f3af11,C18802,111.06,2026-03-26T08:11:19.299460,STORE_30
be5b43c5-fbe6-482b-8719-eb9c800590d0,C57249,132.5,2026-03-28T08:11:19.299502,STORE_20
e0adbea9-903c-45d8-af52-99290b8a0da8,C25413,-37.0,2026-03-30T08:11:19.299526,STORE_9
a7a8a8a0-3e86-47e7-a937-10cd331609d1,C13939,459.78,2026-03-29T08:11:19.299550,STORE_40
26f0fd7b-894d-4d87-8e6c-e57158107a3e,C54648,235.76,2026-03-26T08:11:19.299573,STORE_2
c3e63c40-62ad-4ed4-b2c8-3d70770e6560,C89628,84.64,2026-03-27T08:11:19.299596,STORE_28
03949fdf-4718-43d2-8cb7-8755f17511ac,C25888,480.74,2026-03-31T08:11:19.299621,STORE_33
